round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,11.35,0.01524579553604126,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
1,4.84,0.33201033935546875,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
2,9.8,4.8946603515625,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
3,10.28,328.10801875,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
4,10.32,2501.72635,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
5,9.82,4731.9891,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
6,9.82,13342.4149,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
7,10.1,17977.97,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
8,10.1,43757.5688,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
9,10.1,52487.2992,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
10,10.1,84419.704,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
11,10.1,117827.336,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
12,10.1,160983.464,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
13,10.1,195251.8352,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
14,10.1,335670.2368,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
15,10.1,504752.6944,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
16,10.1,581111.7312,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
17,10.1,835386.3296,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
18,10.1,832403.584,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
19,10.1,1528480.6912,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
20,10.1,1502665.3056,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
21,10.1,1861157.4144,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
22,10.1,2414090.0864,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
23,10.1,2337851.3152,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
24,10.1,2664314.4192,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
25,10.1,2488577.3824,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
26,10.1,2851902.2848,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
27,10.1,3389992.9856,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
28,10.1,3848658.5856,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
29,10.1,4056654.9504,0,0,0.0,Vulnerable_beta0.3,42,0.3,0.01
