round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,15.1,0.0023321216344833373,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
1,12.38,0.05345118293762207,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
2,11.44,0.30291531982421877,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
3,16.92,0.07078080139160156,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
4,7.68,1.1302260864257812,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
5,0.72,29.4548171875,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
6,4.05,45.320804296875,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
7,9.8,170.1837203125,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
8,10.1,144.348121875,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
9,9.58,586.10609375,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
10,10.09,372.8046875,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
11,10.32,375.0228875,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
12,9.74,393.9089,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
13,8.92,371.327628125,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
14,11.35,317.522665625,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
15,9.82,289.468575,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
16,10.28,192.1424953125,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
17,8.92,631.12709375,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
18,9.58,349.417640625,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
19,9.8,1016.45768125,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
20,10.1,884.79939375,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
21,10.09,1618.637625,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
22,11.35,1049.9924125,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
23,9.82,856.0027,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
24,10.28,989.4623375,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
25,8.92,622.52439375,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
26,10.09,690.77666875,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
27,10.1,1943.5860375,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
28,10.09,4206.89055,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
29,10.1,4829.99485,0,0,0.0,HighDP_beta0.1,42,0.1,0.1
