round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,14.16,0.002297703242301941,0,0,0.0,Krum_beta0.1,42,0.1,0.01
1,16.53,0.0022801994323730468,0,0,0.0,Krum_beta0.1,42,0.1,0.01
2,17.93,0.0022668908119201662,0,0,0.0,Krum_beta0.1,42,0.1,0.01
3,21.43,0.0022507071018218992,0,0,0.0,Krum_beta0.1,42,0.1,0.01
4,24.71,0.002238759994506836,0,0,0.0,Krum_beta0.1,42,0.1,0.01
5,22.36,0.00222200608253479,0,0,0.0,Krum_beta0.1,42,0.1,0.01
6,26.8,0.0022046442031860352,0,0,0.0,Krum_beta0.1,42,0.1,0.01
7,28.78,0.002179892897605896,0,0,0.0,Krum_beta0.1,42,0.1,0.01
8,30.51,0.002150589156150818,0,0,0.0,Krum_beta0.1,42,0.1,0.01
9,32.53,0.002128530478477478,0,0,0.0,Krum_beta0.1,42,0.1,0.01
10,34.34,0.002104535150527954,0,0,0.0,Krum_beta0.1,42,0.1,0.01
11,41.97,0.002080957794189453,0,0,0.0,Krum_beta0.1,42,0.1,0.01
12,39.91,0.0020580300331115723,0,0,0.0,Krum_beta0.1,42,0.1,0.01
13,41.67,0.0020342753648757935,0,0,0.0,Krum_beta0.1,42,0.1,0.01
14,44.48,0.001997678518295288,0,0,0.0,Krum_beta0.1,42,0.1,0.01
15,48.27,0.0019629738092422485,0,0,0.0,Krum_beta0.1,42,0.1,0.01
16,47.67,0.0019371641635894776,0,0,0.0,Krum_beta0.1,42,0.1,0.01
17,52.05,0.0019033598780632019,0,0,0.0,Krum_beta0.1,42,0.1,0.01
18,54.59,0.0018529985189437866,0,0,0.0,Krum_beta0.1,42,0.1,0.01
19,57.31,0.0018290870904922485,0,0,0.0,Krum_beta0.1,42,0.1,0.01
20,57.45,0.0017894731998443604,0,0,0.0,Krum_beta0.1,42,0.1,0.01
21,60.68,0.0017510917901992797,0,0,0.0,Krum_beta0.1,42,0.1,0.01
22,67.6,0.0016890713095664978,0,0,0.0,Krum_beta0.1,42,0.1,0.01
23,65.77,0.0016342243194580079,0,0,0.0,Krum_beta0.1,42,0.1,0.01
24,65.11,0.001591588544845581,0,0,0.0,Krum_beta0.1,42,0.1,0.01
25,64.21,0.0015669537901878358,0,0,0.0,Krum_beta0.1,42,0.1,0.01
26,68.0,0.0015138938903808594,0,0,0.0,Krum_beta0.1,42,0.1,0.01
27,67.15,0.0014745031952857971,0,0,0.0,Krum_beta0.1,42,0.1,0.01
28,62.18,0.0014313830018043519,0,0,0.0,Krum_beta0.1,42,0.1,0.01
29,71.26,0.0014016412377357483,0,0,0.0,Krum_beta0.1,42,0.1,0.01
