round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,13.23,0.0022969960451126098,0,0,0.0,Krum_beta0.3,42,0.3,0.01
1,14.06,0.0022836116790771483,0,0,0.0,Krum_beta0.3,42,0.3,0.01
2,8.88,7.363784912109375,0,0,0.0,Krum_beta0.3,42,0.3,0.01
3,32.33,2.17839560546875,0,0,0.0,Krum_beta0.3,42,0.3,0.01
4,10.28,735.29474375,0,0,0.0,Krum_beta0.3,42,0.3,0.01
5,1.84,554.872303125,0,0,0.0,Krum_beta0.3,42,0.3,0.01
6,11.35,20691.3946,0,0,0.0,Krum_beta0.3,42,0.3,0.01
7,9.79,15812.0365,0,0,0.0,Krum_beta0.3,42,0.3,0.01
8,9.04,14627.9694,0,0,0.0,Krum_beta0.3,42,0.3,0.01
9,10.1,13087.8766,0,0,0.0,Krum_beta0.3,42,0.3,0.01
10,9.61,11363.8298,0,0,0.0,Krum_beta0.3,42,0.3,0.01
11,10.07,10025.3458,0,0,0.0,Krum_beta0.3,42,0.3,0.01
12,9.81,9454.5405,0,0,0.0,Krum_beta0.3,42,0.3,0.01
13,9.8,9135.3624,0,0,0.0,Krum_beta0.3,42,0.3,0.01
14,9.8,85108.296,0,0,0.0,Krum_beta0.3,42,0.3,0.01
15,9.8,194155.4288,0,0,0.0,Krum_beta0.3,42,0.3,0.01
16,9.8,182806.5328,0,0,0.0,Krum_beta0.3,42,0.3,0.01
17,9.8,390039.9872,0,0,0.0,Krum_beta0.3,42,0.3,0.01
18,9.8,364562.6688,0,0,0.0,Krum_beta0.3,42,0.3,0.01
19,9.8,591502.5216,0,0,0.0,Krum_beta0.3,42,0.3,0.01
20,9.8,971297.0944,0,0,0.0,Krum_beta0.3,42,0.3,0.01
21,9.8,904085.8048,0,0,0.0,Krum_beta0.3,42,0.3,0.01
22,9.8,1477343.7568,0,0,0.0,Krum_beta0.3,42,0.3,0.01
23,9.8,1294677.0304,0,0,0.0,Krum_beta0.3,42,0.3,0.01
24,9.8,1263388.3392,0,0,0.0,Krum_beta0.3,42,0.3,0.01
25,9.8,1174522.3808,0,0,0.0,Krum_beta0.3,42,0.3,0.01
26,9.8,1113863.8336,0,0,0.0,Krum_beta0.3,42,0.3,0.01
27,9.8,1814915.456,0,0,0.0,Krum_beta0.3,42,0.3,0.01
28,9.8,1609114.4576,0,0,0.0,Krum_beta0.3,42,0.3,0.01
29,9.8,2434540.672,0,0,0.0,Krum_beta0.3,42,0.3,0.01
