round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,15.1,0.0023321216344833373,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
1,12.38,0.05345118293762207,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
2,9.66,3.0808172119140624,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
3,1.05,10.84527470703125,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
4,10.09,447.99070625,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
5,9.8,885.08938125,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
6,9.82,1366.4482875,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
7,11.35,2821.010125,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
8,9.58,2599.2502,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
9,9.82,4415.01965,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
10,10.32,4050.129,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
11,11.35,5692.2032,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
12,11.35,5813.7881,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
13,11.35,4041.681175,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
14,11.35,6427.6888,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
15,10.32,8138.5563,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
16,8.92,7875.22765,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
17,8.92,21800.1566,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
18,8.92,20886.7696,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
19,8.92,35781.5844,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
20,8.92,40894.7084,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
21,8.92,56392.4636,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
22,8.92,107588.8848,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
23,8.92,99106.272,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
24,8.92,126865.4688,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
25,8.92,110580.64,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
26,8.92,108776.2216,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
27,8.92,122371.6272,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
28,8.92,165002.8752,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
29,8.92,193529.672,0,0,0.0,Vulnerable_sigma0.1,42,0.2,0.1
