round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,16.85,0.002295652174949646,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
1,11.14,0.042960944366455076,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
2,11.77,3.8300929931640626,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
3,2.55,23.2326802734375,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
4,9.58,1034.5687875,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
5,10.09,1518.94975,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
6,11.35,1263.81675,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
7,10.32,5469.2646,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
8,9.58,4662.94545,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
9,9.58,12716.8991,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
10,10.32,11187.5552,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
11,9.58,17388.6899,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
12,9.58,21736.4088,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
13,9.58,26349.2208,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
14,9.58,35456.3686,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
15,9.58,36872.5224,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
16,9.58,42696.9088,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
17,9.58,82913.6528,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
18,9.58,87195.0576,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
19,9.58,119920.3608,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
20,9.58,152308.6032,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
21,9.58,161489.7568,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
22,9.58,111645.1792,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
23,9.58,103850.8848,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
24,9.58,139250.736,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
25,9.58,130401.54,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
26,9.58,132063.5104,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
27,9.58,156192.6992,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
28,9.58,185594.7216,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
29,9.58,213146.1568,0,0,0.0,Vulnerable_sigma0.05,42,0.2,0.05
