round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,14.27,0.002293023085594177,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
1,8.24,0.01847330074310303,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
2,3.09,1.4994296630859374,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
3,0.71,7.163007080078125,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
4,9.58,909.1869375,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
5,10.09,1579.1765875,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
6,9.8,3942.361775,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
7,10.32,5592.5022,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
8,9.82,5070.0225,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
9,10.32,18103.8502,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
10,9.82,13229.097,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
11,9.82,20362.0408,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
12,9.82,27415.7222,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
13,9.82,29349.8132,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
14,9.82,43764.9588,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
15,9.82,49402.0988,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
16,9.82,63009.414,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
17,9.82,112678.8264,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
18,9.82,125749.5528,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
19,9.82,212733.4752,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
20,9.82,231674.92,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
21,9.82,295784.5856,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
22,9.82,479311.8912,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
23,9.82,410585.7952,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
24,9.82,646738.2016,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
25,9.82,569314.9792,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
26,9.82,566024.0384,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
27,9.82,708184.8128,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
28,9.82,895011.4048,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
29,9.82,1163867.904,0,0,0.0,Vulnerable_sigma0.005,42,0.2,0.005
