round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,15.08,0.0023344693422317504,0.10000000298023223,0,0.0,R-JORA_sigma0.1,42,0.2,0.1
1,15.66,0.0023507706642150877,0.10001717880368233,0.0999312587082386,0.6000000238418579,R-JORA_sigma0.1,42,0.2,0.1
2,16.44,0.0027067409515380858,0.10125057995319367,0.09874942153692245,0.20000000298023224,R-JORA_sigma0.1,42,0.2,0.1
3,19.14,0.002446982026100159,0.09999999850988388,0,0.5,R-JORA_sigma0.1,42,0.2,0.1
4,22.33,0.0024336419105529783,0.10011760424822569,0.09952961280941963,0.4000000059604645,R-JORA_sigma0.1,42,0.2,0.1
5,21.49,0.002575677824020386,0.1,0,0.5,R-JORA_sigma0.1,42,0.2,0.1
6,21.27,0.0032181281089782715,0.10010315105319023,0.09958737716078758,0.5,R-JORA_sigma0.1,42,0.2,0.1
7,20.51,0.0033486417293548585,0.10110397140185039,0.09834402613341808,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
8,15.06,0.003880710005760193,0.10084681851523263,0.09802409013112386,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
9,16.28,0.0036463874101638795,0.10011400654911995,0.09954395890235901,0.5,R-JORA_sigma0.1,42,0.2,0.1
10,17.71,0.004189090013504028,0.10106320058306058,0.09840518794953823,0.5,R-JORA_sigma0.1,42,0.2,0.1
11,15.5,0.005086255598068237,0.1007998308965138,0.09813373039166133,0.4000000059604645,R-JORA_sigma0.1,42,0.2,0.1
12,22.82,0.004423599481582641,0.10079986814941679,0.09813361863295238,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
13,17.78,0.006716552877426147,0.09857664683035441,0.10332116981347401,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
14,22.79,0.005755373382568359,0.10102343931794167,0.0984648335725069,0.4000000059604645,R-JORA_sigma0.1,42,0.2,0.1
15,27.43,0.005510699081420899,0.09999999925494193,0,0.5,R-JORA_sigma0.1,42,0.2,0.1
16,16.66,0.011385757160186768,0.09182372838258743,0.10817628651857376,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
17,25.38,0.008155505990982055,0.09999999180436134,0,0.4000000059604645,R-JORA_sigma0.1,42,0.2,0.1
18,31.27,0.006715713262557983,0.10055852960795164,0.09776591137051582,0.20000000298023224,R-JORA_sigma0.1,42,0.2,0.1
19,33.45,0.0066564848899841305,0.10058988879124324,0.09469100087881088,0.5,R-JORA_sigma0.1,42,0.2,0.1
20,32.33,0.0072057768821716306,0.10006651375442743,0.09973393380641937,0.5,R-JORA_sigma0.1,42,0.2,0.1
21,44.51,0.00613560643196106,0.10025503486394882,0.09770467132329941,0.20000000298023224,R-JORA_sigma0.1,42,0.2,0.1
22,40.15,0.007403833532333374,0.09864709313426699,0.10315679013729095,0.20000000298023224,R-JORA_sigma0.1,42,0.2,0.1
23,42.07,0.006606111717224121,0.09991469793021679,0.10034122318029404,0.20000000298023224,R-JORA_sigma0.1,42,0.2,0.1
24,40.55,0.00738947172164917,0.09987657610327005,0.10049370303750038,0.5,R-JORA_sigma0.1,42,0.2,0.1
25,42.95,0.008078675031661988,0.10002677515149117,0.09989294409751892,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
26,45.35,0.007345424175262451,0.10082147376877922,0.09808322290579478,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
27,46.66,0.007187962007522583,0.100556257698271,0.09499374032020569,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
28,45.15,0.00827156434059143,0.1000000074505806,0,0.30000001192092896,R-JORA_sigma0.1,42,0.2,0.1
29,49.72,0.0064750110149383545,0.1002617370751169,0.09764443337917328,0.10000000149011612,R-JORA_sigma0.1,42,0.2,0.1
