round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,14.7,0.0022930758237838743,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
1,9.7,0.016233335876464843,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
2,9.35,2.3790635498046875,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
3,1.33,16.8227029296875,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
4,10.32,1677.6677875,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
5,10.09,2782.77285,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
6,9.8,3743.316975,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
7,9.82,4467.26285,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
8,9.82,5123.4516,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
9,9.82,8037.37135,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
10,10.32,6663.7157,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
11,11.35,9709.4876,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
12,11.35,11893.2071,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
13,11.35,12728.6172,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
14,11.35,21481.6,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
15,11.35,22812.9834,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
16,11.35,21207.957,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
17,11.35,42023.7932,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
18,11.35,49280.338,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
19,11.35,77257.868,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
20,11.35,97619.0096,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
21,11.35,126996.4936,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
22,11.35,187276.8992,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
23,11.35,188629.1424,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
24,11.35,235229.6416,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
25,11.35,223206.6464,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
26,11.35,234626.528,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
27,11.35,270447.0448,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
28,11.35,324320.1056,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
29,11.35,388684.3264,0,0,0.0,Vulnerable_sigma0.01,42,0.2,0.01
