round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,7.04,0.12728455200195313,0.09999999329447747,0,0.0,R-JORA_sigma1.0,42,0.2,1.0
1,17.2,0.44083011474609374,0.1009056530892849,0.0963774286210537,0.6000000238418579,R-JORA_sigma1.0,42,0.2,1.0
2,17.06,1.0441015319824218,0.10125143378973007,0.09874856770038605,0.20000000298023224,R-JORA_sigma1.0,42,0.2,1.0
3,36.56,0.49899475402832033,0.10000000149011612,0,0.5,R-JORA_sigma1.0,42,0.2,1.0
4,26.25,1.0861441101074218,0.09931784961372614,0.10272860527038574,0.4000000059604645,R-JORA_sigma1.0,42,0.2,1.0
5,42.2,0.7102978637695313,0.10000000447034836,0,0.5,R-JORA_sigma1.0,42,0.2,1.0
6,34.4,1.0871090515136719,0.0994185209274292,0.10232589766383171,0.5,R-JORA_sigma1.0,42,0.2,1.0
7,30.91,1.575090966796875,0.10108819231390953,0.09836770407855511,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
8,37.53,1.3189479858398439,0.10084341147116252,0.09803204238414764,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
9,41.49,1.4281942138671875,0.09936641342937946,0.10253436863422394,0.5,R-JORA_sigma1.0,42,0.2,1.0
10,48.51,1.3431525268554687,0.10107714434464772,0.09838427975773811,0.5,R-JORA_sigma1.0,42,0.2,1.0
11,49.35,1.4776661743164063,0.10079779582364219,0.09813849131266277,0.4000000059604645,R-JORA_sigma1.0,42,0.2,1.0
12,54.86,1.3817305786132812,0.1007974264877183,0.09813934316237767,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
13,46.91,2.59840126953125,0.0981468568955149,0.10432400802771251,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
14,51.98,2.299172058105469,0.10100792720913887,0.0984880868345499,0.4000000059604645,R-JORA_sigma1.0,42,0.2,1.0
15,59.43,1.7092488159179688,0.09999999403953552,0,0.5,R-JORA_sigma1.0,42,0.2,1.0
16,32.78,6.106180712890625,0.09313946515321732,0.10686053335666656,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
17,59.15,2.2866172973632812,0.09999999701976776,0,0.4000000059604645,R-JORA_sigma1.0,42,0.2,1.0
18,65.08,2.0384297119140626,0.10056133102625608,0.09775470942258835,0.20000000298023224,R-JORA_sigma1.0,42,0.2,1.0
19,65.25,2.25959033203125,0.09999021970563465,0.10008803009986877,0.5,R-JORA_sigma1.0,42,0.2,1.0
20,66.06,2.2511759521484374,0.09990953747183084,0.10036180913448334,0.5,R-JORA_sigma1.0,42,0.2,1.0
21,68.36,1.978219189453125,0.10027916481097539,0.09748747944831848,0.20000000298023224,R-JORA_sigma1.0,42,0.2,1.0
22,51.49,4.1674314208984375,0.09822234085627965,0.10414789120356242,0.20000000298023224,R-JORA_sigma1.0,42,0.2,1.0
23,65.36,2.9720182495117187,0.10045909974724054,0.09816355258226395,0.20000000298023224,R-JORA_sigma1.0,42,0.2,1.0
24,63.92,2.8878559692382813,0.09828838054090738,0.10684649273753166,0.5,R-JORA_sigma1.0,42,0.2,1.0
25,65.92,2.9727775634765625,0.09970925375819206,0.10116299614310265,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
26,68.34,2.594930407714844,0.10077317271913801,0.0981959452231725,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
27,68.06,2.770445324707031,0.0999966851539082,0.100029855966568,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
28,71.19,2.614017297363281,0.10000000223517418,0,0.30000001192092896,R-JORA_sigma1.0,42,0.2,1.0
29,70.74,2.6010139892578126,0.10025953170326021,0.0976642370223999,0.10000000149011612,R-JORA_sigma1.0,42,0.2,1.0
