round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,14.01,0.0022929897785186767,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
1,6.72,0.014437213516235352,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
2,9.88,1.2661527587890624,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
3,10.05,6.859669921875,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
4,10.09,203.7305375,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
5,9.58,586.70791875,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
6,9.82,980.9294,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
7,9.74,1645.38185,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
8,9.74,2764.110425,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
9,9.74,4217.623525,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
10,11.35,3023.921725,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
11,11.35,6397.874,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
12,11.35,8411.98925,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
13,11.35,10000.104,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
14,11.35,19159.4072,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
15,11.35,21706.3882,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
16,11.35,20874.0312,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
17,11.35,41613.0964,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
18,11.35,50553.7596,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
19,11.35,68731.538,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
20,11.35,104962.4168,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
21,11.35,149340.1328,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
22,11.35,277427.5968,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
23,11.35,282099.5376,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
24,11.35,318321.9232,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
25,11.35,301546.0512,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
26,11.35,350810.0736,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
27,11.35,458482.5888,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
28,11.35,579647.4048,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
29,11.35,650153.6384,0,0,0.0,Vulnerable_sigma0.001,42,0.2,0.001
