round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,13.51,0.002294081115722656,0.09999999105930328,0,0.0,R-JORA_sigma0.001,42,0.2,0.001
1,14.06,0.002286236095428467,0.0996821727603674,0.10127131640911102,0.6000000238418579,R-JORA_sigma0.001,42,0.2,0.001
2,15.55,0.0022794007301330564,0.10131819993257522,0.09868180602788926,0.20000000298023224,R-JORA_sigma0.001,42,0.2,0.001
3,19.41,0.0022631698608398436,0.09999999403953552,0,0.5,R-JORA_sigma0.001,42,0.2,0.001
4,21.01,0.0022530359506607056,0.09970304928719997,0.1011878252029419,0.4000000059604645,R-JORA_sigma0.001,42,0.2,0.001
5,23.05,0.00224105281829834,0.10000000447034836,0,0.5,R-JORA_sigma0.001,42,0.2,0.001
6,27.39,0.0022268054485321044,0.09981224406510592,0.10075100883841515,0.5,R-JORA_sigma0.001,42,0.2,0.001
7,28.42,0.0022167887926101684,0.10104027266303699,0.09843957424163818,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
8,25.27,0.0022053584337234497,0.10084203949996404,0.09803523123264313,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
9,28.0,0.002193894553184509,0.0997306453064084,0.10107745230197906,0.5,R-JORA_sigma0.001,42,0.2,0.001
10,29.1,0.0021815246343612673,0.10104754318793614,0.09842867404222488,0.5,R-JORA_sigma0.001,42,0.2,0.001
11,35.35,0.002169382882118225,0.10082400696618217,0.09807733198006947,0.4000000059604645,R-JORA_sigma0.001,42,0.2,0.001
12,38.11,0.002157222628593445,0.1008456466453416,0.09802683939536412,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
13,35.72,0.00214463632106781,0.09849753550120763,0.10350576291481654,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
14,34.29,0.0021310413599014283,0.10096179693937302,0.09855729527771473,0.4000000059604645,R-JORA_sigma0.001,42,0.2,0.001
15,37.94,0.0021108293771743775,0.09999999850988388,0,0.5,R-JORA_sigma0.001,42,0.2,0.001
16,40.16,0.0021079957008361817,0.09247549623250961,0.10752450227737427,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
17,47.34,0.002084720492362976,0.09999999180436134,0,0.4000000059604645,R-JORA_sigma0.001,42,0.2,0.001
18,46.08,0.0020617682695388793,0.10052893590182066,0.09788423776626587,0.20000000298023224,R-JORA_sigma0.001,42,0.2,0.001
19,49.68,0.0020377214789390565,0.10024998750951555,0.09775006771087646,0.5,R-JORA_sigma0.001,42,0.2,0.001
20,49.91,0.0020218034267425536,0.10003379639238119,0.09986481815576553,0.5,R-JORA_sigma0.001,42,0.2,0.001
21,51.71,0.001994226598739624,0.10025534199343787,0.09770185500383377,0.20000000298023224,R-JORA_sigma0.001,42,0.2,0.001
22,56.85,0.001979418778419495,0.09864955927644457,0.10315103828907013,0.20000000298023224,R-JORA_sigma0.001,42,0.2,0.001
23,60.84,0.001959509265422821,0.09447014704346657,0.12211937457323074,0.20000000298023224,R-JORA_sigma0.001,42,0.2,0.001
24,62.26,0.0019361759781837463,0.09456188138574362,0.12175246328115463,0.5,R-JORA_sigma0.001,42,0.2,0.001
25,61.42,0.001905719029903412,0.10304697509855032,0.08781208842992783,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
26,63.24,0.0018794069170951844,0.10080764442682266,0.09811551620562871,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
27,66.59,0.0018465378642082214,0.1002282773454984,0.09794548153877258,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
28,62.53,0.0018090017080307007,0.10000000894069672,0,0.30000001192092896,R-JORA_sigma0.001,42,0.2,0.001
29,61.32,0.001781988787651062,0.10028743826680714,0.09741304069757462,0.10000000149011612,R-JORA_sigma0.001,42,0.2,0.001
