Scenario,Round,Type,L2_Norm,Cosine_Sim,Weight
FedAvg,10,Benign,15.81819,0.86848015,0.1
FedAvg,10,Benign,15.791041,0.8543724,0.1
FedAvg,10,Benign,15.813771,0.82613766,0.1
FedAvg,10,Benign,15.801816,0.83381295,0.1
FedAvg,10,Benign,15.792433,0.8550214,0.1
FedAvg,10,Benign,15.799994,0.8416965,0.1
FedAvg,10,Benign,15.812924,0.81768566,0.1
FedAvg,10,Malicious,833.7012,-0.1166836,0.1
FedAvg,10,Malicious,833.7003,-0.116686255,0.1
FedAvg,10,Malicious,833.6985,-0.11669115,0.1
FedAvg,11,Benign,15.803563,0.7757254,0.1
FedAvg,11,Benign,15.807116,0.87291783,0.1
FedAvg,11,Benign,15.791586,0.8430481,0.1
FedAvg,11,Benign,15.806021,0.875095,0.1
FedAvg,11,Benign,15.812016,0.85063404,0.1
FedAvg,11,Benign,15.789745,0.8558257,0.1
FedAvg,11,Benign,15.81159,0.81114054,0.1
FedAvg,11,Malicious,928.95276,-0.5653786,0.1
FedAvg,11,Malicious,928.94977,-0.56538224,0.1
FedAvg,11,Malicious,928.937,-0.565377,0.1
FedAvg,12,Benign,15.796673,0.8983934,0.1
FedAvg,12,Benign,15.788433,0.8872992,0.1
FedAvg,12,Benign,15.797211,0.88039243,0.1
FedAvg,12,Benign,15.813268,0.8290678,0.1
FedAvg,12,Benign,15.805938,0.8084121,0.1
FedAvg,12,Benign,15.817484,0.8786222,0.1
FedAvg,12,Benign,15.814969,0.849267,0.1
FedAvg,12,Malicious,927.18,-0.54775405,0.1
FedAvg,12,Malicious,927.17224,-0.54775333,0.1
FedAvg,12,Malicious,927.1731,-0.54775953,0.1
FedAvg,13,Benign,15.787884,0.89142907,0.1
FedAvg,13,Benign,15.840461,0.8275503,0.1
FedAvg,13,Benign,15.792928,0.83975303,0.1
FedAvg,13,Benign,15.825412,0.795715,0.1
FedAvg,13,Benign,15.804563,0.83991885,0.1
FedAvg,13,Benign,15.799112,0.7721075,0.1
FedAvg,13,Benign,15.824724,0.84334505,0.1
FedAvg,13,Benign,15.817827,0.82567954,0.1
FedAvg,13,Malicious,783.616,-0.079346955,0.1
FedAvg,13,Malicious,783.60583,-0.0793454,0.1
FedAvg,14,Benign,15.817976,0.7432724,0.1
FedAvg,14,Benign,15.803006,0.7731546,0.1
FedAvg,14,Benign,15.817968,0.7559271,0.1
FedAvg,14,Benign,15.812453,0.71722686,0.1
FedAvg,14,Benign,15.807511,0.71920115,0.1
FedAvg,14,Benign,15.790646,0.7178592,0.1
FedAvg,14,Malicious,929.13855,-0.36592537,0.1
FedAvg,14,Malicious,929.137,-0.36592644,0.1
FedAvg,14,Malicious,929.1363,-0.36592713,0.1
FedAvg,14,Malicious,929.1352,-0.36593068,0.1
FedAvg,15,Benign,15.811835,0.66363513,0.1
FedAvg,15,Benign,15.803282,0.57272696,0.1
FedAvg,15,Benign,15.805424,0.5427888,0.1
FedAvg,15,Benign,15.821142,0.5341863,0.1
FedAvg,15,Benign,15.81702,0.7191031,0.1
FedAvg,15,Benign,15.78342,0.5745705,0.1
FedAvg,15,Malicious,725.37274,0.06583767,0.1
FedAvg,15,Malicious,725.3803,0.06583809,0.1
FedAvg,15,Malicious,725.3812,0.06585666,0.1
FedAvg,15,Malicious,725.3797,0.0658506,0.1
FedAvg,16,Benign,15.79933,0.69337964,0.1
FedAvg,16,Benign,15.81244,0.8410878,0.1
FedAvg,16,Benign,15.807984,0.86215556,0.1
FedAvg,16,Benign,15.814741,0.8581986,0.1
FedAvg,16,Benign,15.814827,0.8400903,0.1
FedAvg,16,Benign,15.814699,0.814162,0.1
FedAvg,16,Benign,15.80828,0.8194063,0.1
FedAvg,16,Malicious,699.01154,-0.26692408,0.1
FedAvg,16,Malicious,699.0216,-0.266933,0.1
FedAvg,16,Malicious,699.00793,-0.2669389,0.1
FedAvg,17,Benign,15.787161,0.7196841,0.1
FedAvg,17,Benign,15.803662,0.77290773,0.1
FedAvg,17,Benign,15.805195,0.7856643,0.1
FedAvg,17,Benign,15.779635,0.76413023,0.1
FedAvg,17,Benign,15.797291,0.73383796,0.1
FedAvg,17,Benign,15.80507,0.7895944,0.1
FedAvg,17,Malicious,803.42535,-0.16358688,0.1
FedAvg,17,Malicious,803.417,-0.16357923,0.1
FedAvg,17,Malicious,803.42316,-0.1635867,0.1
FedAvg,17,Malicious,803.42145,-0.16358271,0.1
FedAvg,18,Benign,15.814253,0.8200152,0.1
FedAvg,18,Benign,15.812103,0.7932153,0.1
FedAvg,18,Benign,15.801666,0.8687555,0.1
FedAvg,18,Benign,15.826187,0.8422079,0.1
FedAvg,18,Benign,15.784056,0.8725288,0.1
FedAvg,18,Benign,15.830413,0.8521471,0.1
FedAvg,18,Benign,15.827414,0.865513,0.1
FedAvg,18,Benign,15.812812,0.7704405,0.1
FedAvg,18,Malicious,782.15985,-0.03970086,0.1
FedAvg,18,Malicious,782.1607,-0.039697923,0.1
FedAvg,19,Benign,15.820005,-0.3770266,0.1
FedAvg,19,Benign,15.813744,-0.38876876,0.1
FedAvg,19,Benign,15.803815,-0.40862685,0.1
FedAvg,19,Benign,15.813461,-0.4282609,0.1
FedAvg,19,Benign,709.8577,0.99999315,0.1
FedAvg,19,Benign,709.8491,0.99999315,0.1
FedAvg,19,Benign,709.8499,0.9999932,0.1
FedAvg,19,Benign,709.8563,0.9999931,0.1
FedAvg,19,Benign,709.85016,0.99999326,0.1
FedAvg,19,Benign,709.8512,0.9999932,0.1
FedAvg,20,Benign,15.811194,0.7320243,0.1
FedAvg,20,Benign,15.818489,0.7272408,0.1
FedAvg,20,Benign,15.77952,0.73947275,0.1
FedAvg,20,Benign,15.805529,0.72372353,0.1
FedAvg,20,Benign,15.8067045,0.7254723,0.1
FedAvg,20,Benign,15.796903,0.7439289,0.1
FedAvg,20,Malicious,714.93494,0.073517956,0.1
FedAvg,20,Malicious,714.93854,0.073504835,0.1
FedAvg,20,Malicious,714.94556,0.07352661,0.1
